The Arena,6:40
Beholder's Maze,6:00
East Commonlands,6:40
Eastern Karana,6:40
Erud's Crossing,6:40
Everfrost Peaks,6:40
Highpass Hold,5:00
Innothule Swamp,6:40
Kithicor Forest,6:40
Lake Rathetear,6:40
Lavastorm Mountains,6:40
Misty Thicket,6:40
Nektulos Forest,6:40
Northern Desert of Ro,6:40
Northern Karana,6:40
Oasis of Marr,16:30
Ocean of Tears,6:00
Qeynos Hills,6:40
Rathe Mountains,6:40
Southern Desert of Ro,6:40
Southern Karana,6:40
The Feerrott,6:40
West Commonlands,6:40
Western Karana,22:00 
Grobb,24:00
Halas,24:00
Neriak,24:00
Freeport,24:00
Qeynos,24:00
Oggok,24:00
Rivervale,22:00
Surefall Glade,24:00
Befallen,19:00
Blackburrow,22:00
Cazic Thule,22:00
Clan Runnyeye,22:00
High Keep,10:00
Lower Guk,28:00
Nagafen's Lair,22:00
Najena,18:30
Permafrost,22:00
Qeynos Catacombs,6:40
Solusek's Eye,18:00
Splitpaw Lair,22:00
The Temple of Solusek Ro,6:40
Upper Guk,16:30 
Erudin,6:40
Erudin Palace,25:00
Paineel,10:30
Erud's Crossing,6:40
Kerra Island,17:45
Toxxulia Forest,6:40
The Hole,21:30
Stonebrunt Mountains,11:10
The Warrens,6:40
Ak'Anon,6:40
Felwithe,24:00
Kaladim,6:40
Butcherblock Mountains,6:40
Dagnor's Cauldron,6:40
Greater Faydark,7:05
Lesser Faydark,6:30
Ocean of Tears,6:00
Steamfont Mountains,6:40
Crushbone,9:00
Kedge Keep,22:00
Mistmoore Castle,22:00
The Estate of Unrest,22:00
Burning Wood,6:40
Dreadlands,6:40
Emerald Jungle,6:40
Field of Bone,6:40
Firiona Vie,6:40
Frontier Mountains,6:40
Lake of Ill Omen,6:40
The Overthere,6:40
Skyfire Mountains,13:00
Swamp of No Hope,6:40
Timorous Deep,12:00
Trakanon's Teeth,6:40
Warsliks Woods,6:40
Cabilis,6:40 
Chardok,20:00
City of Mist,22:00
Dalnir,12:00
Howling Stones,20:30
Kaesora,18:00
Karnor's Castle,27:00
Kurn's Tower,18:20
Mines of Nurga,20:30
Old Sebilis,27:00
Temple of Droga,20:30
Veeshan's Peak,72:00:00
Cobalt Scar,20:00
Eastern Wastes,6:40
The Great Divide,10:40
Iceclad Ocean,6:40
Wakening Land,6:40
Western Wastes,6:40
Icewell Keep,21:00
Kael Drakkal,28:00
Skyshrine,30:00
Thurgadin,7:00
Crystal Caverns,14:45
Dragon Necropolis,27:00
Siren's Grotto,28:00
Sleeper's Tomb,8:00:00
Temple of Veeshan,72:00:00
Tower of Frozen Shadow,20:00
Velketor's Labyrinth,32:50
Plane of Fear,8:00:00
Plane of Hate,8:00:00
Plane of Sky,8:00:00
Plane of Growth,12:00:00
Plane of Mischief,1:10:10
